page_no,scene_title,text
96,  260       INT. MOSCOW TRAIN/PASSENGER CAR -- DAWN," 260                BOURNE -- asleep in his chair -- rocked by the rhythm.  But               something wakes him up.                 Looks out the window -- something weird about the light out               there -- then up to see:                 MARIE  -- looking at him over the back of his chair in front              of him -- no big deal --                                       BOURNE                         Hey...                 She smiles.  A beat.  She comes around, sits beside him.  He *               looks away out the window. *            95.                                       BOURNE (CONT'D) *                         I wanted to kill him. *                                       MARIE *                         But you found another choice. *                                       BOURNE *                         I did. *                                       MARIE *                         It wouldn't have changed the way you *                         feel. *                                       BOURNE *                         It might have. *                 BOURNE looks back at her.  She smiles.  He accepts it, *               leans back, closes his eyes. *                                       BOURNE (CONT'D) *                         I know it's a dream.                                        MARIE                         You do?                                       BOURNE                         I only dream about people who are dead.                 MARIE leans over, kisses his forehead.   Whispers --                                      BOURNE (CONT'D) *                         God, I miss you.  I don't know what to do *                         without you. *                                       MARIE                               (softly, serenely) *                         Jason.  You know exactly what to do.  That *                         is your mission now. *                 BOURNE opens his eyes.                 And it's morning outside.                 And Marie is gone.                 A LITTLE GIRL smiles at him from over the back of the chair               in front.  BOURNE can't meet her gaze for long.  As he               looks back out the window --        261-262    *               96.    "
96,  263       INT. MOSCOW TRAIN/PASSENGER CAR -- DAWN," 263                BOURNE watching the birch trees rush past, not quite hiding               the smokestacks beyond.  Eyes locked.  Forging something               within, one final mission, as we --      "
98,  264       INT. BERLIN WESTIN HOTEL LOBBY -- EARLY MORNING," 264                ABBOTT coming through.  It's empty this early, but --                 Here's PAMELA, NICKY, CRONIN and the TEAM waiting to *               report.                                       PAMELA                         Sorry to wake you.                                       ABBOTT                               (waves off apology)                         I wasn't sleeping. *                               (to Nicky as he passes) *                         You OK? *                                       NICKY *                         Yeah, thanks. *                                       ABBOTT *                         What's up? *                                       PAMELA                         Bunch of stuff.                 PAMELA looks to CRONIN -- him first. *                                       CRONIN *                         We tied the room Bourne visited tonight to                         a murder/suicide seven years ago.  A                         Russian couple, the Neskis. *                                       ABBOTT *                               (playing along) *                         Neski.  The reformer.  I remember that. *                                       CRONIN *                         He championed the equal distribution of *                         oil leases in the Caspian Sea.  When he *                         died, they were all  released to one *                        petroleum company, Pecos Oil.  Guess *                         what? -- the CEO, Uri Gretkov, is ex- *                         KGB. *      *            97.                                       NICKY *                         Someone was using Treadstone as a private *                         cleaning service. *                                       ABBOTT *                         Conklin... *                               (a beat) *                         It's -- I'm sorry, Pamela.  I guess you *                         were right all along. *             *               Pamela waves him off, it's okay, but --                                       PAMELA                         There's something else.                 Abbott can see by their faces: this hits closer to home.                                       ABBOTT                         What?                                       PAMELA                         They found Danny Zorn's body.  Dead in the                         basement at the building where my people                         got hit the first time.                                       ABBOTT                         Oh, God...  It must have been Bourne. *                                       PAMELA                         Did he say anything to you?                                       ABBOTT                         No... It must have been Bourne.                 PAMELA, straight...                                       PAMELA                         We'll know for sure when we get the *                         security tapes. *                                       CRONIN *                         But we can relax.  We tracked him.  He's *                         on a train to Moscow. *                 ABBOTT reeling, hiding it.                                       ABBOTT                         Moscow ?  What the Hell's he going to                        Moscow for?                  98.                                       PAMELA                               (shrugs)                         Don't know.                                       ABBOTT                         Jesus...  I, Zorn... I have to call his                         family.  Tell them...                                       PAMELA                         I'm sorry, Ward.                 They watch as he goes.      "
98,  265       INT. WESTIN ELEVATOR -- DAWN, 265    *                ABBOTT in the rising elevator.  Imploding.      
98,  266       INT. GRETKOV'S OFFICE -- MORNING," 266                Palatial.  But you can't buy taste.  GRETKOV working his *               computer -- answers his PHONE. *                                       GRETKOV                          Da...                                      ABBOTT/PHONE                         You didn't stay, Uri.                                       GRETKOV                               (matter of fact)                         This is not a clean phone.      "
99,  267       INT. WESTIN GRAND HOTEL LOBBY -- DAWN," 267    *                Everyone still here.  CRONIN answering his cell phone --  *               motioning to them, he's got news --                                       CRONIN                               (phone to his ear)                         You're sure?                                       PAMELA                         What?  The tapes? *                                       CRONIN                               (nodding but)                         Hold on...                               (holding the phone)                         Yep.  And Abbott just direct dialed Moscow *                         from his room...            99.                 Now we realize, she's set a trap and Abbott's walked in.               All the same, Pamela shakes her head, wishes it wasn't               true.                 And they're moving --      "
99,  268       INT. ABBOTT'S WESTIN HOTEL ROOM -- DAWN," 268    *                ABBOTT at his desk, still on the phone, pouring a vodka.                                       GRETKOV                         Leaving was a business decision.  We're                         both rich, come enjoy it.                                       ABBOTT                         What do you mean?                                       GRETKOV                         Go to the airport.  Get a plane.  I'll                         have a brass band waiting for you.                                       ABBOTT                         Save it for Bourne.                                       GRETKOV                         What?                 There's a KNOCKING AT HIS DOOR -- ABBOTT simply ignores it.                                       ABBOTT                         He left yesterday on the night train.                         He's probably just getting in now.                               (he drinks)                         You'll have to hurry.                                       GRETKOV                         Bourne comes here?  Why?                 More KNOCKING...                                       ABBOTT                         Good luck.      "
100,  A268       EXT. MOSCOW TRAIN -- DAWN," A268    *                Speeding East through the Russian countryside.  The forest *               is gone, replaced by factories and refineries.  A *               wasteland of rust and gray that seems to go on forever -- *                  100.    "
100,  269       INT. WESTIN HALLWAY OUTSIDE ABBOTT'S ROOM -- NIGHT," 269    *                PAMELA knocking again.  NICKY, TEDDY and CRONIN behind her.                                       PAMELA                         Open it.                 CRONIN with a pass key.  TEDDY prepped and --      "
101,  A269      INT. ABBOTT'S WESTIN HOTEL ROOM -- NIGHT," A269    *                PAMELA leading -- they enter -- stop short --                 ABBOTT at his desk, calmly pointing a PISTOL -- at Pamela.                                       ABBOTT                         They go.  You stay.                 She looks back.  CRONIN shakes his head 'no'.                                       PAMELA                         Yes .  Now...                They reluctantly obey.  The door clicking shut behind them.                                       ABBOTT                         Sit down.                                       PAMELA                         I'd rather stand if it's all the same to                         you.                                       ABBOTT                         I don't exactly know what to say -- I'm                         sorry.                                       PAMELA                         'Why' would be enough for me.                                       ABBOTT                         I'm not a traitor.  I've served my *                         country. *                                       PAMELA                         And pocketed a fair amount of change while *                         doing it. *                                       ABBOTT                         Why not?  It was just money. *                  101.                                       PAMELA                         And Danny Zorn, what was that? *                                       ABBOTT                         Had to be done. *                                       PAMELA *                         No good options left? *                                       ABBOTT *                               (shrugs) *                         In the end, honestly, it's hubris. *                         Simple hubris.  You reach a point in this *                         game when the only satisfaction left is *                         to see how clever you are. *                                       PAMELA *                         No.  You lost your way. *                                       ABBOTT *                         Well, you're probably right.  I guess *                         that's all that hubris is. *                 He raises the gun.                 PAMELA -- presses her lips together, closes her eyes.               BOOM!                 She opens them.  And as CRONIN flies back through the door --                 There's ABBOTT -- dead at the desk -- he's shot himself --               also, in a way, with some help from Bourne.      "
101,  270       INT. PLATFORM -- MOSCOW TRAIN STATION -- DAY, 270                THE TRAIN easing to a stop.  The platform busy with people               waiting and -- PASSENGERS disembarking.                 BOURNE among them.  Unremarkable in THE CROWD and -- *      
102,  271       INT. MOSCOW TRAIN STATION -- DAY, 271                BOURNE on the move.  Welcome to the whole mad Moscow scene.               A jumble of faces and voices.  Travellers.  Arrivals and                departures.  Families.  Beggars.  Drunk war vets.  Hawkers.                        102.    
102,  272       EXT. MOSCOW TRAIN STATION CAB STAND -- DAY," 272                There, in the plaza.  BOURNE hobbling across the street,               when suddenly -- A CAR HORN! -- he turns and --                 Look out!                 A BIG BLACK BMW speeding past -- followed by TWO MORE --               all three cars with BLUE LIGHTS STROBING on the dashboards -               - a convoy -- whipping by like they own the place and --                                       TAXI DRIVER (OS)                         (Gangster bastards don't care what they                         do.)                 BOURNE turns.  A grizzled TAXI DRIVER right beside him.                 BOURNE pulls a slip of paper from his pocket.                                       BOURNE                               (his Russian is basic)                         (You know this address?)                 THE TAXI DRIVER squints, finally grunts affirmative.                 He motions to his cab.  As they get in and pull away --      "
102,  273       INT. MOSCOW GARAGE -- DAY, 273                Lots of cars.  No people.  But someone running...  It's               KIRILL pulling his keys as he sprints past and --        274    *                 
103,  275       INT. MOSCOW TAXI -- DAY," 275                BOURNE and THE TAXI DRIVER looking over as THREE MOSCOW               POLICE CARS speed by -- SIRENS WAILING --                                       TAXI DRIVER                         (It's always something, right?)                 BOURNE just nods, as we --                          103.    "
103,  276       INT./EXT. BLACK BMW -- DAY," 276                KIRILL at the wheel.  A guy in a hurry who knows what he's               doing.  One more thing, on the passenger seat -- TWO BIG               AUTOMATIC PISTOLS --      "
103,  277       EXT. MOSCOW TRAIN STATION -- DAY," 277                MOSCOW COPS fanning through the crowd showing BOURNE'S               INTERPOL PICTURE.  ""Have you seen him?""      "
103,  278       EXT. MOSCOW TRAIN STATION CAB STAND -- DAY," 278                MOSCOW COPS with the picture.  Flashing it around, until --                                       YOUNG CABBY                               (the moment he sees it)                         (He was just here.  They just left.)      "
103,  279       INT. MOSCOW TAXI -- DAY, 279                They've stopped.  BOURNE flashes a FIFTY DOLLAR BILL --                                       BOURNE                         You wait.  You understand?  Stay .                                     TAXI DRIVER                               (happy to pocket the cash)                         Sure.  No problem.  I sit.      
104,  280       EXT. OLD MOSCOW STREET -- DAY," 280                Old Moscow.  But not for long, there's new construction               metastasizing all around it.  BOURNE crosses the street and               --                HIS POV                  AN ABANDONED WOODEN HOUSE.  Windows shattered and boarded               up.  Paint all but gone.  Roof and gables all failing.                 BACK TO                  BOURNE crestfallen.  Checking the address.  This is it.                      104.    "
104,  281       EXT. MOSCOW TRAIN STATION CAB STAND -- DAY, 281                MORE COPS.  Everything focused on ANOTHER TAXI DRIVER who's               making a call on a cell phone -- everybody waiting on it --      
104,  282       EXT. ABANDONED WOODEN HOUSE -- DAY," 282                BOURNE off the sidewalk now, peering around the side,               trying to see if there's anything around back and --                 OVER THERE                  AN OLD WOMAN on the steps next door.  Watching him.                 BOURNE starts over.  Finding the sweetest smile he's got --      "
104,  283       INT. MOSCOW TAXI -- DAY," 283                THE TAXI DRIVER still parked there --                 HIS POV                 BOURNE and the OLD LADY -- she's pointing like she's giving               directions -- when suddenly, the Driver's CELL PHONE RINGS -               -                                      TAXI DRIVER/PHONE                         (Hello...?)      "
104,  284       EXT. ABANDONED WOODEN HOUSE -- DAY," 284                BOURNE and the OLD LADY.  His Russian is limited, but she's               charmed nonetheless --                                       BOURNE                         (A pen...to write...one minute...)                               (searching his pockets)      "
105,  285       INT. MOSCOW TAXI -- DAY, 285                THE TAXI DRIVER on the phone -- not so happy anymore --                                       TAXI DRIVER                         (-- I'm looking at him -- American -- he's                          right here! --)                    105.    
105,  286       EXT. ABANDONED WOODEN HOUSE -- DAY," 286                THE OLD LADY scribbling on a piece of paper.  BOURNE               reacting as the TAXI drops into gear.  Pulls away.                                       BOURNE                         Wait!  Hey!                 But THE TAXI only speeds up, and --      "
105,  287       EXT. MOSCOW TRAIN STATION -- DAY, 287                MOSCOW POLICE CARS tearing away and --        288     
105,  289       INT. BLACK BMW -- DAY, 289                KIRILL DRIVING.  Reaching for his RINGING PHONE and --      
105,  290       EXT. MOSCOW STREET -- DAY, 290                THE BLACK BMW -- a moment later -- slamming on the brakes --               fishtailing a U-TURN and --      
105,  291       EXT. MOSCOW BUILDING PROJECT -- DAY, 291                BOURNE hustling past all the new construction.  Glancing               back as POLICE SIRENS start rising behind him and --      
105,  292       INT. RED LEXUS -- DAY, 292                KIRILL skidding around another corner and --      
106,  293       EXT. ABANDONED WOODEN HOUSE -- DAY, 293                TWO POLICE CARS just stopped there -- COPS -- the OLD LADY               pointing -- everyone turning as --                 THE RED LEXUS speeds  past them and --       294                 106.    
106,  295       EXT. CONCRETE STAIRS -- DAY, 295                BOURNE coming down as fast as he can -- just ahead there's               A FOOTPATH BENEATH A FOUR LANE OVERPASS -- a neighborhood *               on the other side -- he could disappear there --      
106,  296       INT. RED LEXUS -- DAY, 296                KIRILL driving and scanning -- THERE! -- as he passes it --               THE OVERPASS -- slamming on the brakes and --      
106,  297       EXT. FOOTPATH -- DAY, 297                BOURNE hobbling out in the open -- twenty yards to go --      
106,  298       EXT. OVERPASS -- DAY, 298                KIRILL jumping out of the Lexus with A PISTOL in hand and --      
106,  299       EXT. FOOTPATH -- DAY, 299                BOURNE -- no clue -- BANG! -- his shoulder! -- he's hit! --               he throws himself forward and --      
106,  300       EXT. OVERPASS -- DAY, 300                KIRILL shifting for a better second shot and --      
106,  301       EXT. FOOTPATH -- DAY, 301                BOURNE -- he's diving! -- rolling! -- pure instinct -- back               under the embankment and --      
106,  302       EXT. OVERPASS -- DAY, 302                KIRILL with no shot suddenly -- leaning over the rail --               just as the TWO MOSCOW POLICE CARS come screaming up --               MOSCOW COPS jumping out with guns drawn and --      
107,  303       EXT. FOOTPATH -- DAY, 303                BOURNE -- he's up -- he's bleeding -- he's moving and --                  107.    
107,  304       EXT. OVERPASS -- DAY," 304                CHAOS  -- KIRILL with his hands in the air -- MOSCOW COPS              coming toward him -- everyone screaming --                           MOSCOW COPS                     MOCK-BOURNE               (-- UP! -- HANDS UP! -- KEEP   (-- I'M KGB, ASSHOLES! --               THEM UP! -- DROP THE GUN! --   WE'RE CHASING THE SAME GUY! - *               DROP IT! --)                   - HE'S GETTING AWAY! --)                 They let KIRILL go -- he looks back at the footpath -- *               BOURNE is gone -- as *      "
107,  A304      EXT. MOSCOW CITY STREET -- DAY," A304    *                GRETKOV strolls along, suddenly two black sedans pull up *               and he is arrested. *      "
107,  A305      INT. PEDESTRIAN TUNNEL -- DAY, A305    *                BOURNE hurriedly makes his way to the other end -- a few *               beats later -- KIRILL on the hunt -- *      
107,  305       EXT. MOSCOW OUTDOOR MARKET -- DAY, 305                A labyrinth of stalls.  Food.  Hardware.  Clothes.  And               crowded.  Even this hard-to-impress CROWD noticing --                 BOURNE hobbling through.  Nothing like a limping madman               with a fresh gunshot wound to get attention --                 PEOPLE back off -- pull THEIR KIDS out of the way -- SOME               WOMAN STARTS SCREAMING and --      
107,  306       INT. MOSCOW ENCLOSED MARKET -- DAY, 306                A SECURITY GUARD -- hears the commotion -- jogs out and --        307     
108,  308       EXT. NEARBY MOSCOW STREET -- DAY," 308                KIRILL running toward the market -- FIVE MOSCOW COPS behind               him, can't keep up and --                108.    "
108,  309       INT. MOSCOW OUTDOOR MARKET -- DAY, 309    *                THE SECURITY GUARD coming up fast behind BOURNE --                                       SECURITY GUARD                         (-- hey! -- hey you! -- stop! --)                 BOURNE turns.  THE SECURITY GUARD right behind him and --                 BOURNE -- no warning -- his good arm -- SMASH!!! -- right               into THE SECURITY GUARD'S FACE and --                 BOURNE takes HIS PISTOL and --                 THE CROWD -- they jump -- holy shit!      
108,  310       INT. MOSCOW ENCLOSED MARKET -- DAY, 310                Crazy -- KIRILL sprinting through -- where did Bourne go? --      
108,  311       INT. MOSCOW OUTDOOR MARKET -- DAY," 311    *                BOURNE back on the march, except now he's shopping! --                 Grabbing -- A BUNDLE OF TUBE SOCKS and --      "
108,  312       INT. MOSCOW OUTDOOR MARKET -- DAY, 312    *                KIRILL sprinting out toward the stalls and --        313-314        
108,  315       INT. MOSCOW OUTDOOR MARKET -- DAY, 315    *                BOURNE -- THERE! -- A ROLL OF DUCT TAPE and --                 -- A BOTTLE OF VODKA and --      
109,  316       INT. MOSCOW OUTDOOR MARKET -- DAY, 316    *                KIRILL fighting his way through THE FLEEING CROWD --        317    *                 109.    
109,  318 pt 1  EXT. MOSCOW OUTDOOR MARKET -- DAY, 318 pt 1    *                BOURNE -- leaving the market -- taking a swig of VODKA and -- *                      Continues -- knows there are TWO NEW COPS on his ass. *      
109,  318 pt 2  EXT. MARKET PARKING LOT -- DAY," 318 pt 2    *                Another CAB STAND.  CABBIE by a YELLOW CAB, looks up to see *               --  *               BOURNE -- coming toward him -- and also -- *                 The TWO COPS.  As BOURNE nears, the CABBIE shakes his head. *                 Bourne pivots -- casually -- like he doesn't know they're *               coming until -- HE SPITS! -- VODKA -- into one of the cop's *               face! -- blinded as BOURNE takes him and his PARTNER out. *                 The CABBIE raises his hands in surrender, steps aside as *               BOURNE takes his car -- *      "
109,  318 pt 3  INT./EXT. CAB -- DAY," 318 pt 3    *                BOURNE IN THE YELLOW CAB -- starting THE ENGINE -- peeling *               away! -- careening into the street and -- *                 KIRILL sprinting into the parking lot, just in time to see - *               -  *    "
109,  318 pt 4  INT. CAB -- DAY, 318 pt 4    *                BOURNE concentrating away the pain -- trying to drive -- *      
109,  319       EXT. MARKET PARKING LOT -- DAY, 319    *                TWO LADIES ducked behind a BIG BLACK G-WAGON -- freaked out  *               as KIRILL grabs their keys and -- *      
112,  320-335   INT./EXT. MOSCOW STREETS/CARS/FACES -- DAY," 320-335    *                THE CAB speeding across A BOULEVARD into an older *               neighborhood of rising narrow streets and -- *                 TWO MOSCOW POLICE CARS PULLING U-TURNS on the BOULEVARD -- *               whipping around to give chase and -- *                110.                 THE G-WAGON in full pursuit now and -- *                 BOURNE DRIVING -- up this curving little hill and -- *                 THE TWO MOSCOW POLICE CARS starting to climb and -- *                 KIRILL DRIVING and he's  on the hill now -- *                BOURNE -- bad hand on the wheel -- holding on -- trying to *               find something in passenger seat -- TUBE SOCKS? *                 THE TWO MOSCOW POLICE CARS splitting up! -- one on Bourne's *               ass -- the other cutting hard  into A SIDE STREET, flanking *              him and -- *                 BOURNE -- topping the hill -- two choices -- right or left? *                 RIGHT! -- No! -- wrong  -- because down the hill there's A *              POLICE CAR just about to angle in from THE SIDE-STREET and - *               -  *               BOURNE -- no choice -- FLOORING IT! -- *                 THE CAB -- it's a whale -- SLAM! -- knifing the front end *               of THE POLICE CAR and -- *                 THE POLICE CAR -- spun back! -- CRASHING AGAINST A BUILDING *               ON THE CORNER and -- *                 KIRILL -- right  behind that guy -- swerving -- onto the *              sidewalk -- SPARKS FROM THE WALL AS HE SCRAPES! -- hanging *               in -- skidding into a turn down the hill and -- *                 JUST MISSING THE FIRST POLICE CAR bombing right past him! *                 BOURNE -- in pain as he packs his shoulder wound with the *               socks -- Ahead -- the street banks downhill to left and -- *                 THERE! -- A BOULEVARD -- wide ride -- lots of traffic and -- *                 THE CAB rocketing into the flow and -- *                 BEHIND HIM -- POLICE CAR #1 with THE G-WAGON right on his *               ass and -- *                 BOURNE -- Wrists flicking the wheel.  THE CAB screaming *               through the slower traffic and -- *                 KIRILL -- totally on it -- pedal down -- passenger window  *               open -- wind blowing -- he's got THE PISTOL in his hand -- *               closing the gap and -- *                 THE BLACK G-WAGON -- blowing past POLICE CAR #1 and -- *            111.                 BOURNE -- steering -- barely  -- as he tears a few strips of *              DUCT TAPE to finish his triage -- *                 BLAM! -- BLAM!! -- THE G-WAGON -- right beside him! -- *                 BOURNE -- reacting -- what the fuck?! -- that's not a cop! - *               - but no time to clock Kirill because -- *                 KIRILL -- shit! -- can't keep shooting -- into the oncoming *               lanes -- swinging wide -- A TRUCK! -- swerving again and -- *                 THE CAB -- wavering again -- rallying and -- *                  UP AHEAD -- THE BOULEVARD opens into THE RIVER BELTWAY -- *               big -- wide -- fast -- KREMLIN in the BG and -- *                 FOUR NEW POLICE CARS screaming down from RED SQUARE and -- *                 BOURNE skidding onto THE BELTWAY -- looking for room -- *                 -- Finding it -- open road -- *                 KIRILL back in the hunt and -- *                 THE RIVER BELTWAY -- CAB SCREAMING PAST -- then ONE -- TWO - *               - THREE -- FOUR POLICE CARS -- now the BLACK G-WAGON and -- *                 BOURNE -- Both hands on the wheel -- He's already forgotten *               about his shoulder -- *                 THE BELTWAY -- up ahead -- ANOTHER CHOICE -- right takes *               you up to the city -- left is a TRANSIT TUNNEL and -- *                 BOURNE -- checking his rearview -- starting right and -- *                  THE TWO LEAD POLICE CARS right on his ass and -- *                 BOURNE -- fake out -- veering left! -- last second -- into *               THE TUNNEL and -- *                 THE TWO LEAD POLICE CARS -- wrong  -- and worse, trying to *              change -- CRASH!!!! -- SPINNING -- and it's not just them -- *               A THIRD POLICE CAR caught in the clutter -- Not to mention *               the COMMUTERS -- CRASH!!!  The Police are out of the race. *                 KIRILL -- not fooled -- threading the needle -- through the *               carnage and into -- *        336-337                 112.    "
114,  338       INT. THE TUNNEL -- DAY," 338                FOUR LANES -- two way -- and long  -- there's -- *                THE CAB -- squibbing past SLOWER CARS and -- *                 KIRILL on him -- move for move -- follow the leader and -- *                 BOURNE -- checks the rearview -- he's lost them all but the *               G-WAGON -- who the hell is that? -- *                 The Heavyweights.  World Championship Belt up for grabs. *                 KIRILL -- gaining -- nearly pulling level. *                 BOURNE -- nowhere to go -- that's never stopped him before - *               - he carves a path -- turns two lanes into three as *               sparks his way through a lane split -- *                 THE G-WAGON -- roaring after him.                 BOURNE -- checks the mirror -- closer -- who the Hell is               that guy? --                 KIRILL -- Gaining -- FIRING through his passenger window.                 BOURNE -- BRAKES --                 TUNNEL -- As the two vehicles scrape along each other --                 KIRILL -- FIRING BACK -- odd angle --                 BOURNE -- ducking for meager cover as bullets stitch                through the roof --                 TUNNEL -- The G-WAGON crushes the CAB against the wall --               sparks showering the windshield -- finally --                 THE CAB -- shoots ahead --                 KIRILL -- in a controlled fury --                 THE SUV -- jerking hard and right into the rear of the CAB --                 BOURNE -- trying to keep control -- spots a MAINTENANCE                TRUCK up ahead --                 KIRILL -- banging away as his quarry straightens --                 MAINTENANCE TRUCK -- looming --                  113.                 BOURNE -- a hard left --                  TUNNEL -- the CAB wrapping around the front of the SUV --               WHAM! -- pushing it to the right -- the cab continues --               SPINNING around the G-WAGON --                 DETAILS -- front bumpers locking on rear fenders as --                 TUNNEL -- The G-WAGON hurtling forward -- the CAB ass end               first -- locked together --                 KIRILL -- firing into the CAB -- really unloading now --                 BOURNE -- down on the floor -- a tornado overhead --                 KIRILL -- slaps in a new clip -- intense --                 BOURNE -- gun against his door -- just below the window *               knob -- WHUMP-WHUMP-WHUMP -- *                 SUV TIRE -- shredding. *                 KIRILL -- fights the wheel -- *                 ANOTHER TRUCK -- looming large -- *                          BOURNE -- looking between the seats out the rear window -- *               a LANE DIVIDING PILLAR ahead -- *                 CAB -- as BOURNE sits up -- jerks the wheel to the right -- *                 TUNNEL -- the cars unlock -- spin away from each other -- *                 KIRILL -- focused -- taking deadly aim -- *                 BOURNE -- staring back at him -- calm -- ""I know something *               you don't know."" *                 KIRILL -- frowns -- *                 THE TRUCK -- swerves to reveal the PILLAR to Kirill's POV -- *                 KIRILL -- eyes go wide -- *                 WHALLOP! -- steel vs. concrete -- concrete victorious -- a *               bone compressing, truly horrendous impact! *                 BOURNE -- whipping the wheel -- *                 CAB -- spinning to a stop out of harm's way -- door opening *               --  *              114.    "
114,  339       INT. TUNNEL -- DAY," 339                Gun ready -- BOURNE heads over.                 Ahead -- Spam in a can.  BOURNE crouches down -- looks in.                 KIRILL -- bloody, beat-to-crap -- barely alive -- but --               trapped -- entombed alive by the metal crushed around him --                 BOURNE -- watches.  Not here to help.                 KIRILL -- looks over -- calms a moment as the two men               consider each other --                 BOURNE looks at him long and hard.                 Kirill dies.                 And BOURNE stands -- and just walks away --           340-350    *     "
114,  A351      EXT. MOSCOW AIRPORT TARMAC -- DAY, A351    *                Snow swirls.  PAMELA disembarks from the G-5 (or US *               military plane).  She is met by RUSSIAN OFFICIALS. *      
114, 351        EXT. MOSCOW HOUSING PROJECT -- TWILIGHT," 351                Huge, awful Soviet-era housing towers fill the horizon.                 A CITY BUS grinds to a stop.  PEOPLE trundle off.  Working               people at the end of their day.  Tired.  Cold.                    A GIRL.  Trudging a man-made wasteland.  Twenty.  A proud               little waif.  Sad eyes.  Home from some job.  IRENA.      "
115,  352       EXT./INT. PROJECT BUILDING ENTRANCE -- EVENING, 352                Grimmer up close.  Rusted steel mesh over the windows.               DRUNK TEENAGERS.  A haze of cigarette smoke.                 IRENA pushing through.  Doesn't want to talk to anyone --                    115.    
115,  353       INT. PROJECT BUILDING STAIRWELL -- EVENING, 353                IRENA climbing.  A JUNKIE here.  Flickering light there.      
115,  354       INT. SIXTH FLOOR HALLWAY -- EVENING, 354                IRENA -- her key at the door.  Domestic disturbance playing               across the hall.  She opens up and --      
119,  355       INT. IRENA'S APARTMENT -- EVENING," 355                It's dark.  And she's barely through the door when --                 IRENA jumps -- chokes back a CRY --                 BOURNE is standing there -- propped there actually --               behind her -- gun in hand -- motioning for her to be quiet --                                       BOURNE                               (his shabby Russian)                         (Quiet.  Silence.  Okay?)                 IRENA nods.  Scared.  Gun in hand, BOURNE pushes the door               the last few inches so it's fully closed.                                       IRENA                         (I have no money.  No drugs.  Is that what                         you want?)                 And now she can really see him.  He's a disaster.               Shivering.  Bloody.  Eyes more hollow than hers are.                                       BOURNE                         Sit.  Can you...                               (trying to conjure the                                Russian--)                         (The chair.  Have the chair.)                                       IRENA                               (accented)                         I speak English.                 BOURNE staring at her.  Nods.  Gestures for her to sit.                                       BOURNE                         Please...                 So she does.  And here they are.                   116.                                       BOURNE (CONT'D) (cont'd)                         Of all the people in the world, you're the                         only one I have anything to offer.                               (hesitating)                         That's why I came here.                                       IRENA                               (she's terrified)                         Okay.                 He's got something beside him.  Something he's taken off               the wall.  IT'S THE PHOTOGRAPH.  The Neski family.  Same as               the one that was in the Hotel Brecker.  Mom, Dad and Irena,               arms around each other, in front of the house.  Before it               was abandoned.  Happy.  Smiling.  Perfect.                                       BOURNE                         It's nice.                               (a beat)                         Does this picture mean anything to you? *                               (no answer) *                         Hmm? *                                       IRENA                         It's nothing.  It's just a picture.                                       BOURNE                         No.  It's because you don't know how they                         died.                                       IRENA                               (he couldn't understand)                         No, I do. *                 A change in BOURNE as he studies her, measures her.  Some               moment of truth is here.  IRENA braces, unsure.                                       BOURNE                         I would want to know.                               (beat)                         I would want to know that my mother didn't                         kill my father.  I would want                         to know that she didn't kill herself.                                       IRENA                         What?                 She really looks at him now.  Fear overwhelmed by               curiosity.                                         BOURNE                         I would grow up thinking that they didn't                         love me if they just left me like that.            117.                 Irena making sure her eyes don't leave his.  They don't.                                       BOURNE (CONT'D) (cont'd)                         It changes things.  That knowledge.                         Doesn't it?                                       IRENA                               (wary)                         Yes...                                       BOURNE                         That's not what happened to your parents.                                       IRENA                         Then what?                                       BOURNE                         I killed them.                 Body blows, but he has her attention.  She wipes a tear.                                       BOURNE (CONT'D) *                         It was my job.  My first time.  Your                         father was supposed to be alone.  But then                         your mother, she came out of nowhere...                               (a little shrug)                         I had to change my plan.                               (beat)                         You understand me?                               (does she?)                         You don't have to live like that anymore.                         Thinking that.                                       IRENA                         You killed them.                 BOURNE nods, that's right.                                       BOURNE                         They loved you.                               (beat)                         And I killed them.                                       IRENA *                         How...how can...how can you be here and *                         say this? *                                       BOURNE *                         I don't want you to forgive me. *                 She stands suddenly.  Stands because if she doesn't she'll               burst into tears.  Because she knows if she starts crying               she won't be able to make sense of this.            118.                                       IRENA                         For who? *                               (he doesn't answer)                               KILLED FOR WHO?                 BOURNE pushes himself to his feet.  A real effort.                                       BOURNE                         It doesn't matter.  Your life is hard                         enough.                                       IRENA                         You're a liar.                                       BOURNE                         You know I'm not.                                       IRENA                         YOU'RE A LIAR!                                       BOURNE                         Look at me .               There they are.  Two people standing in a room.  Squared               off.                 And now she starts crying.  Really crying.                 And he's taking it.                                       IRENA                         I should kill you...if it's true you                         should die...I should kill you now!                                       BOURNE                         I can't let you do that either. *                                       IRENA                         Because you're afraid!                                       BOURNE                         No.                               (starting for the door)                         Because you don't want to know how it                         feels.                 She hesitates.  Stunned.  He's leaving.  He's opening the *               door.  *                                     BOURNE (CONT'D) *                         I have to go now. *                                       IRENA *                         Is this really happening? *          119.                                       BOURNE *                               (empty)                         I'm sorry.                 And she sags.  Back into the chair, as -- *                    THE PHOTOGRAPH on the table.  The sound of the door *               closing and Irena crying, as -- *      "
